Number,GISAID ID,Collecting Date,Variants,Collecting Country/Region
1,EPI_ISL_10113812,2021/2/18,Beta,Zambia
2,EPI_ISL_10265849,2021/6/14,Alpha,Ireland
3,EPI_ISL_10451166,2021/5/11,Alpha,Switzerland
4,EPI_ISL_10515204,2021/4/7,Gamma,Argentina
5,EPI_ISL_10898816,2021/7/20,Alpha,Mongolia
6,EPI_ISL_10932695,2021/5/19,Beta,South Africa
7,EPI_ISL_10935285,2021/5/20,Alpha,Canada
8,EPI_ISL_10953997,2021/6/21,Alpha,USA
9,EPI_ISL_10999595,2021/9/8,Delta,Australia
10,EPI_ISL_11221245,2022/2/22,Omicron,Vietnam
11,EPI_ISL_11222860,2021/12/17,Omicron,France
12,EPI_ISL_11230282,2021/2/26,Alpha,Austria
13,EPI_ISL_11254301,2021/10/18,Delta,USA
14,EPI_ISL_11268271,Jan-22,Omicron,India
15,EPI_ISL_11320247,2021/9/19,Delta,India
16,EPI_ISL_11370100,2022/2/25,Omicron,Indonesia
17,EPI_ISL_11449733,2022/3/7,Omicron,France
18,EPI_ISL_11531492,2022/2/12,Omicron,USA
19,EPI_ISL_11533460,2021/12/22,Delta,USA
20,EPI_ISL_1708575,2021/4/5,Gamma,Thailand
21,EPI_ISL_2097767,2021/4/24,Lambda,USA
22,EPI_ISL_2651120,2021/6/6,Mu,Hong Kong
23,EPI_ISL_2862939,2021/6/21,Lambda,Netherlands
24,EPI_ISL_2893886,2021/6/9,Lambda,France
25,EPI_ISL_2933815,2021/7/5,Mu,Japan
26,EPI_ISL_3397033,2021/7/24,Lambda,USA
27,EPI_ISL_4713792,2021/8/26,Gamma,Japan
28,EPI_ISL_6316493,2021/10/30,GH/490R,France
29,EPI_ISL_6507611,2021/10/6,Mu,Ecuador
30,EPI_ISL_6783400,2021/11/5,Mu,USA
31,EPI_ISL_6963122,2021/2/5,Beta,Malawi
32,EPI_ISL_6990137,2021/7/13,Mu,Venezuela
33,EPI_ISL_7547548,2021/11/30,GH/490R,Indonesia
34,EPI_ISL_7961373,2021/10/7,Gamma,Peru
35,EPI_ISL_8082681,2021/12/16,Delta,Turkey
36,EPI_ISL_8189639,2021/12/25,GH/490R,Belgium
37,EPI_ISL_8482131,2021/3/9,Beta,USA
38,EPI_ISL_8582067,2021/8/19,Delta,Beijing
39,EPI_ISL_8582087,2021/7/12,Beta,Beijing
40,EPI_ISL_8788228,2021/9/13,Mu,Colombia
41,EPI_ISL_9028625,2021/12/11,GH/490R,Qatar
42,EPI_ISL_9077869,2021/11/24,GH/490R,France
43,EPI_ISL_9547950,2021/4/12,Gamma,USA
44,EPI_ISL_9800275,2021/7/8,Gamma,Brazil
